title,ingredients,directions,NER
Chocolate Eclair Cake,"[""2 boxes instant French vanilla pudding"", ""1 (8 oz.) Cool Whip"", ""3 c. milk""]","[""Beat all ingredients together."", ""Layer with graham crackers. Graham crackers bottom layer, 1/2 pudding mixture on top, graham crackers next layer then rest of pudding."", ""Graham crackers on top and then frost with milk chocolate frosting.""]","[""milk""]"
Easy Biscuits,"[""2 c. self-rising flour"", ""2/3 c. milk or buttermilk""]","[""Pour flour into bowl; add other ingredients and mix."", ""Put on a floured board and pat out."", ""(May be rolled out and cut into biscuits or you may break off pieces and roll with hands into balls.)"", ""Pat down slightly."", ""Bake at 400\u00b0 for 10 to 15 minutes or until brown.""]","[""flour"", ""milk""]"
Smiling Faces(Kids)  ,"[""peeled oranges"", ""peanut butter""]","[""Slice peeled oranges crosswise."", ""Top with peanut butter.""]","[""oranges"", ""peanut butter""]"
Chocolate Eclair Cake,"[""1 box graham crackers"", ""2 small pkg. instant French vanilla pudding"", ""3 1/2 c. milk"", ""1 (8 oz.) carton Cool Whip""]","[""Line bottom of 9 x 13-inch pan with whole graham crackers."", ""Mix pudding and milk; fold in Cool Whip."", ""Pour 1/2 of pudding mix over graham crackers."", ""Add another layer of whole graham crackers."", ""Add the rest of the pudding mix."", ""Top with whole graham crackers. Spread icing (see below) on top of crackers and chill.""]","[""graham crackers"", ""milk""]"
Old Fashioned Rice Pudding,"[""6 heaping Tbsp. rice (not instant)"", ""6 to 8 heaping Tbsp. sugar"", ""1 qt. milk (may use skim)"", ""1 (12 oz.) can evaporated milk""]","[""Mix all ingredients together in 2-quart casserole dish and put in 325\u00b0 oven (glass dish in 300\u00b0 oven)."", ""Bake for 3 hours."", ""Stir approximately every 20 minutes during first 2 hours.""]","[""rice"", ""sugar"", ""milk"", ""milk""]"
Fresh Cranberry Orange Relish,"[""1 pkg. cranberries"", ""1 orange"", ""3/4 c. sugar""]","[""Grind cranberries and orange."", ""Mix with sugar."", ""Store in refrigerator until you use.""]","[""cranberries"", ""orange"", ""sugar""]"
Pink Goop,"[""1 large can cherry or strawberry topping"", ""1 large can crushed pineapple, drained"", ""1 large can Eagle brand milk"", ""1 large container Cool Whip""]","[""Mix, chill and serve.""]","[""cherry"", ""pineapple"", ""milk""]"
Chocolate Eclair,"[""1 large pkg. graham crackers"", ""2 (3 oz.) pkg. French vanilla instant pudding"", ""3 1/4 c. milk"", ""1 Cool Whip (8 oz.)""]","[""Butter a 9 x 13-inch dish. Put a single layer of graham crackers on bottom. Combine instant pudding and milk and mix well. Fold in Cool Whip. Put a layer of pudding mix over graham crackers. Repeat this process 2 more times.""]","[""graham crackers"", ""milk""]"
Canned Apples(For Future Use)  ,"[""3 gal. sliced apples"", ""1 c. sugar""]","[""Let apples and sugar stand overnight."", ""Pack apples into quart jars tight and seal."", ""Put jars in cold water bath and bring to a boil."", ""Shut off the heat."", ""Let in about 1 hour."", ""These apples are very good used for pie, apple crisp or just as a sauce with caramel or something over."", ""Handy to have when in a hurry.""]","[""apples"", ""sugar""]"
Cranberry-Orange Relish,"[""1 lb. cranberries, washed and ground"", ""1 whole orange, ground (rind but not seeds)"", ""2 c. sugar""]","[""Combine in blender; refrigerate."", ""Will keep for 1 week or longer in refrigerator.""]","[""cranberries"", ""orange"", ""sugar""]"
Peanut Butter Balls,"[""1 c. peanut butter"", ""2/3 c. honey"", ""2 c. powdered milk""]","[""Mix with hands until smooth."", ""Roll into balls."", ""Bon appetit!!""]","[""peanut butter"", ""honey"", ""powdered milk""]"
Banana Split Salad,"[""1 banana"", ""1/3 c. cottage cheese"", ""1/3 c. crushed pineapple"", ""a cherry""]","[""Peel the banana; slice it in half lengthwise, then put it on a salad plate."", ""Put a scoop of cottage cheese in the middle of the banana slices."", ""Spoon the crushed pineapple over the cottage cheese."", ""Top it with a cherry."", ""Yield:"", ""1.""]","[""banana"", ""cottage cheese"", ""pineapple"", ""cherry""]"
Chocolate Icebox Cake,"[""2 large boxes chocolate pudding"", ""6 c. milk"", ""1 box graham crackers"", ""8 oz. container Cool Whip""]","[""Cook pudding according to directions on box in a 13 x 9-inch pan."", ""Put a first layer of chocolate pudding, then a layer of graham crackers, then so on until pudding lasts."", ""Put in refrigerator to set for 2 hours."", ""When serving, put some Cool Whip on each serving.""]","[""chocolate pudding"", ""milk"", ""graham crackers""]"
Chocolate Ice Cream,"[""chocolate"", ""sugar"", ""flour"", ""milk"", ""ice""]","[""Put in three inches of chocolate."", ""Put in three spoons of sugar."", ""Add 2 cups flour."", ""Put in 3 cups of milk."", ""Put in 4 pieces of ice and mix it up."", ""Scoop it on a cone when it is frozen.""]","[""chocolate"", ""sugar"", ""flour"", ""milk""]"
Sugar-Free Fruit Salad,"[""1 can chunky mixed fruit in own juice"", ""1 can pineapple chunks in own juice"", ""apple"", ""banana"", ""1 small box sugar-free instant vanilla pudding""]","[""Drain cans of fruit."", ""Save juice of pineapple chunks."", ""Combine all fruit."", ""Mix pudding with pineapple juice."", ""Pour over fruit and stir."", ""Ready to eat.""]","[""pineapple"", ""apple"", ""banana"", ""sugar""]"
Fresh Cranberry Relish,"[""2 c. cranberries"", ""1 (20 oz.) can crushed pineapple, drained"", ""2 Granny Smith apples, peeled, cored and cut into wedges"", ""2 (11 oz.) cans mandarin oranges, drained"", ""1 tsp. granulated sugar""]","[""In a food processor, combine cranberries, pineapple, apples and oranges."", ""Blend into small chunks, adding sugar if needed. Chill and serve."", ""Make 8 servings.""]","[""cranberries"", ""pineapple"", ""apples"", ""mandarin oranges"", ""sugar""]"
Eclair Cake,"[""1 lb. box honey graham crackers (use all)"", ""2 pkg. (4 serving size) French vanilla instant pudding"", ""1 (12 oz.) bowl Cool Whip"", ""4 c. milk""]","[""Mix pudding and milk, let stand until thick."", ""Fold in Cool Whip."", ""Line bottom of 9 x 13-inch pan with crackers."", ""Alternate layers of crackers and pudding mixture ending with cracker layer on top."", ""Refrigerate.""]","[""crackers"", ""milk""]"
Peanut Butter Play Dough,"[""1 c. peanut butter"", ""1 c. corn syrup"", ""1 1/4 c. 10x sugar"", ""1 1/4 c. dry milk solids""]","[""Mix until well blended."", ""Add more dry milk if texture feels sticky."", ""Let children use as play dough and eat their creations.""]","[""peanut butter"", ""corn syrup"", ""sugar"", ""milk""]"
Just Corn,"[""corn"", ""peanut butter""]","[""Peel and slice sweet potatoes."", ""Cook potatoes in water for 5 to 10 minutes and add 1 teaspoon of vanilla."", ""Save water to add later. Make dough like you would biscuits."", ""Roll out thin strips and cover the bottom and sides with strips."", ""Use deep pan."", ""Lay sweet potatoes in bottom of pan, then put margarine on potatoes. Sprinkle sugar over margarine."", ""Repeat potatoes, magarine and sugar until you use all the potatoes, then pour the water which you used to cook the potatoes in and cover the potatoes completely."", ""Next, cut more dough strips and cover the top."", ""Then brush or cut small pieces on top of the dough."", ""Sprinkle sugar on top."", ""Very old recipe.""]","[""corn"", ""peanut butter""]"
Pudding In A Cloud,"[""1 pkg. (4 serving size) Jell-O pudding and pie filling (any flavor except lemon)"", ""2 c. milk"", ""2 c. thawed Cool Whip""]","[""Combine pudding mix and milk in a medium saucepan; blend well. Cook and stir over medium heat until mixture comes to a full boil; pour into bowl."", ""Cover surface of pudding with plastic wrap. Chill.""]","[""milk""]"
Chocolate Pudding In A Cloud,"[""1 (6 oz.) box instant chocolate pudding mix"", ""1 large container Cool Whip""]","[""Mix pudding according to"", ""directions"", ""on box."", ""Put Cool Whip in dessert cups, leave a"", ""hole"", ""in the center of each cup for the pudding."", ""Place pudding"", ""in"", ""the"", ""center of Cool Whip. Pudding will be circled by Cool Whip."", ""Any instant pudding mix may be used.""]","[""chocolate pudding""]"
Pineapple-Banana Slush(Low Calorie)  ,"[""1 medium ripe banana, sliced, peeled and frozen a few hours"", ""1/2 c. canned crushed pineapple, drained (unsweetened)"", ""1/4 c. unsweetened orange juice"", ""4 large ice cubes""]","[""Combine all ingredients in blender."", ""Mix well.""]","[""banana"", ""pineapple"", ""orange juice""]"
Edible Peanut Butter Dough,"[""1 Tbsp. peanut butter"", ""1 Tbsp. honey"", ""1 Tbsp. powdered milk""]","[""Mix all together to make dough."", ""Makes 1 serving.""]","[""peanut butter"", ""honey"", ""powdered milk""]"
Kria'S Tomato Soup,"[""1 (5.5 oz.) can V-8 juice"", ""1 (5.5 oz.) can tomato juice""]","[""Use a small pan and pour both juices in pan."", ""Simmer slowly until heated thoroughly.""]","[""tomato juice""]"
Homemade Cheese,"[""3 or 4 gal. milk (fresh cow milk)""]","[""Put this in a bowl for a day or two."", ""Skim cream off of the top, then let milk turn to clabber."", ""Put in a large pot and heat until it feels warm to touch, then strain it in a flour sack. Hang on line and let it drip dry.""]","[""milk""]"
Cranberry-Orange Relish,"[""4 c. (1 lb.) cranberries, washed and stems removed"", ""2 oranges, quartered and seeds removed"", ""2 apples, peeled and quartered"", ""1 small can crushed pineapple"", ""2 c. sugar""]","[""Put the cranberries, oranges and apples through a food chopper."", ""Mix all ingredients together and store in the refrigerator several hours before serving.""]","[""cranberries"", ""oranges"", ""apples"", ""pineapple"", ""sugar""]"
Easy Orange Marmalade,"[""4 oranges"", ""4 c. sugar""]","[""Clean oranges with brush."", ""Grind one whole seeded orange. Peel 3 oranges and grind pulp."", ""Combine with sugar and boil over medium heat for 30 minutes stirring frequently."", ""Seal in sterilized jars."", ""Use heavy bottom pan for this.""]","[""oranges"", ""sugar""]"
Apricot-Apple Jam,"[""10 lb. apples, peeled"", ""2 lb. apricots (dried)"", ""4 lb. sugar""]","[""Grind apples and apricots. Add sugar and cook until thick. Makes 12 pints.""]","[""apples"", ""sugar""]"
Mandarin Orange Salad,"[""1 large can crushed pineapple with juice"", ""1 box instant lemon pudding and pie filling"", ""8 oz. Cool Whip"", ""1 can mandarin oranges""]","[""Mix together pineapple and pudding and pie filling."", ""Fold in Cool Whip."", ""Drain oranges."", ""Mix oranges with pineapple, pudding and Cool Whip mixture."", ""Save a few of the oranges to garnish the top of the salad."", ""Refrigerate.""]","[""pineapple"", ""mandarin oranges""]"
Tapioca Fruit Pudding,"[""2 pkg. Americana tapioca (Jell-O brand) pudding mix"", ""1 can pineapple chunks"", ""2 cans mandarin oranges"", ""3 bananas, sliced"", ""some extra orange or pineapple juice, if needed""]","[""Dissolve pudding mix in 3 cups juice (drained and saved from fruit)."", ""Bring slowly to boil until clear."", ""Refrigerate until cool."", ""Add fruit."", ""Chill."", ""Serve with whipped cream.""]","[""tapioca"", ""pineapple"", ""mandarin oranges"", ""bananas"", ""pineapple juice""]"
Mashed Potato Candy,"[""1 small Potato (cooked & mashed)"", ""1 lb. 4x sugar"", ""1/2 c. Peanut Butter""]","[""Mix potato and sugar together."", ""Roll out thin, spread with peanut-butter."", ""Roll up like a jelly roll.""]","[""Peanut Butter""]"
Christmas Cranberries Relish,"[""1 bag cranberries"", ""2 large apples, cored"", ""2 oranges"", ""1 large banana"", ""3/4 to 1 c. sugar""]","[""Wash cranberries in cold water."", ""In an old fashioned hand grinder (use a coarse cutting plate) or in a food processor (a coarse chop) grind or chop all berries."", ""Quarter but do not peel apples and grind into the berries."", ""Peel and remove seeds from oranges and grind into mixture."", ""Add banana last, then stir in sugar to taste."", ""If you wish, you can grind in some grated orange peel for extra tang.""]","[""cranberries"", ""apples"", ""oranges"", ""banana"", ""sugar""]"
Cranberry Streusel Coffee Cake,"[""1 1/2 c. cranberries"", ""2 Tbsp. orange juice"", ""1/4 c. sugar""]","[""Combine ingredients in saucepan; cook, stirring constantly, until berries begin to pop."", ""Remove from heat and cool.""]","[""cranberries"", ""orange juice"", ""sugar""]"
7-Up Prom Punch,"[""2 pt. cranberry juice"", ""2 qt. apple juice"", ""2 c. orange juice"", ""7 (10 oz.) bottles 7-Up""]","[""Combine juices and serve when chilled."", ""As you serve, add cold 7-Up."", ""Makes 36 five ounce servings.""]","[""cranberry juice"", ""apple juice"", ""orange juice""]"
Peanut Butter Candy,"[""2 c. sugar"", ""1/2 c. milk"", ""1 c. peanut butter""]","[""Boil sugar and milk for 1 minute."", ""Remove from stove."", ""Add peanut butter."", ""Stir and pour into pan."", ""Cut when firm.""]","[""sugar"", ""milk"", ""peanut butter""]"
Fried Pies,"[""1 Qt. apple or peaches"", ""2 Cups sugar"", ""Biscuit dough""]","[""Cook apples or peaches with sugar on low until there is no juice. Using biscuit dough for crust, roll out small amount, then fill with cooled fruit. Close with fork and deep fry.""]","[""apple"", ""sugar""]"
Peanut Butter Syrup,"[""1 c. sugar"", ""1 Tbsp. peanut butter""]","[""Add enough water to 1 cup sugar to dissolve, then bring mixture to a boil."", ""Add 1 tablespoon peanut butter or more to suit taste."", ""Recipe can be doubled and leftover frozen for future use.""]","[""sugar"", ""peanut butter""]"
Yogurt,"[""1 qt. whole milk or low-fat milk"", ""2 Tbsp. yogurt (start from previous batch or commercial type)"", ""1 small can evaporated milk (optional)""]","[""In a deep saucepan, bring milk to a rolling boil, stirring occasionally."", ""Remove pan from heat; add evaporated milk."", ""Cool to lukewarm."", ""Dissolve 2 tablespoons yogurt (starter from previous batch or from commercial type) in 1/2 cup of lukewarm milk, blending thoroughly."", ""Add this to remaining milk, stirring constantly."", ""Pour milk into 1-quart heavy bowl or individual glasses."", ""Cover with cloth, let stand in a warm place for 6 to 8 hours or until thick."", ""Chill before serving.""]","[""milk"", ""yogurt"", ""milk""]"
"""Cranberry-Orange Relish""","[""1 orange"", ""1 lb. (4 c.) cranberries"", ""1 3/4 c. sugar""]","[""Juice orange."", ""Grind cranberries and peel of orange."", ""Add sugar and orange juice; mix well."", ""Refrigerate several hours or up to 2 weeks."", ""Makes 3 cups.""]","[""orange"", ""cranberries"", ""sugar""]"
Smoked Duck,"[""3 ducks"", ""Morton Tender Quick"", ""maple syrup""]","[""Soak ducks in brine solution (Morton Tender Quick) for 24 to 48""]","[""maple syrup""]"
Snickers Salad,"[""2 Snicker bars"", ""2 apples"", ""2 bananas"", ""1 (8 oz.) Cool Whip""]","[""Cut Snicker bars into little pieces in a large bowl."", ""Peel and core apples."", ""Cut into small chunks."", ""Peel and slice bananas."", ""Add Cool Whip."", ""Mix well and cool.""]","[""apples"", ""bananas""]"
Chocolate Mousse(Diabetic Recipe)  ,"[""1 (8 oz.) chocolate Cool Whip"", ""1 pkg. sugar-free instant chocolate pudding"", ""2 c. skim milk""]","[""In large mixing bowl, combine pudding and milk."", ""Beat 2 minutes with electric mixer."", ""Fold in Cool Whip."", ""Spoon 2/3 cup into serving dish."", ""Chill."", ""Makes 8 servings."", ""Two-thirds cup equals 1 starch and 1 fat.""]","[""chocolate"", ""sugar"", ""milk""]"
Christmas Punch,"[""1 large can pineapple juice"", ""2 pkg. Kool-Aid (cherry or strawberry)"", ""2 c. sugar""]","[""Pour into 1 gallon container and finish filling with water.""]","[""pineapple juice"", ""cherry"", ""sugar""]"
Quick 'N' Nutty Jam Gems,"[""1 (18 oz.) pkg. Pillsbury refrigerated sugar cookie dough"", ""1 c. finely chopped peanuts"", ""1 jar of your favorite flavor jelly or jam""]","[""Freeze cookie dough 15 minutes. Heat oven to 350\u00b0. Cut cookie dough into 1/2-inch slices; cut each slice in half. Shape dough into balls; roll balls in peanuts. Place 2 inches apart on ungreased cookie sheets.""]","[""peanuts""]"
Orange-Pineapple Ice Cream,"[""1 can unsweetened crushed pineapple, drained"", ""1 (8 oz.) container Cool Whip"", ""2 cans Eagle Brand milk"", ""1 bottle Orange Crush soda""]","[""Mix Cool Whip and milk in a bowl."", ""Stir in pineapple."", ""Pour into ice cream container."", ""Finish filling with Orange Crush. Follow instructions on ice cream freezer.""]","[""pineapple"", ""milk""]"
Orange Salad,"[""1 large or 2 small jars pineapple-orange jelly"", ""1 can crushed pineapple, drained"", ""1 can mandarin oranges"", ""1 c. Cool Whip"", ""1 c. cottage cheese (small curd)""]","[""Stir well first 3 ingredients; add Cool Whip and cottage cheese."", ""Stir well and chill.""]","[""pineapple"", ""pineapple"", ""mandarin oranges"", ""cottage cheese""]"
Homemade Grape Juice,"[""1 c. grapes"", ""1/2 c. sugar""]","[""Fill jar with 1 cup grapes."", ""Add the sugar and fill to top of jar with boiling water."", ""Seal jars and process 10 to 15 minutes. Let stand 2 weeks before using."", ""Strain grapes and enjoy.""]","[""grapes"", ""sugar""]"
P B Fudge,"[""1 c. sugar"", ""1 c. peanut butter"", ""3/4 c. milk""]","[""Combine sugar and milk in a saucepan and stir over medium heat until mixture reaches a soft boil."", ""Soft boil, while stirring, for 10 minutes."", ""Remove mixture from heat and quickly stir in peanut butter."", ""Immediately pour into a 9 x 9-inch glass dish that has been lightly coated with cooking spray."", ""After fudge has cooled for 5 to 10 minutes, cut into squares and leave in pan to finish cooling.""]","[""sugar"", ""peanut butter"", ""milk""]"
Orange And Pineapple Salad,"[""1 big can pineapple"", ""1 small can mandarin oranges (11 oz.)"", ""1 (8 oz.) cottage cheese (small curd)"", ""1 big Cool Whip""]","[""Drain pineapple."", ""Heat juice and mix orange juice with jello. Then cool and fold in mandarin oranges, cottage cheese and Cool Whip."", ""Then freeze.""]","[""pineapple"", ""oranges"", ""cottage cheese""]"
"""Gorp""","[""2 small boxes raisins"", ""1 c. salted cocktail peanuts"", ""1 (8 oz.) bag M&M's""]","[""Add all ingredients in large bowl."", ""Mix well."", ""Makes a great snack.""]","[""raisins"", ""peanuts""]"
Lemon Ice Box Pie,"[""1 can eagle brand milk"", ""1 small can pet milk, 5 oz""]","[""Beat together, then pour one little bottle, about 3-5 oz,"", ""of lemon juice in and mix. Pour into vanilla wafer crust and chill. Top with cool whip.""]","[""milk"", ""milk""]"
Whatchamacallit Cake,"[""1 box German chocolate cake mix"", ""1 can condensed milk"", ""1 chocolate Cool Whip"", ""1 to 2 Whatchamacallit candy bars, chopped""]","[""Mix the cake as directions say on back of box."", ""Bake it in long sheet pan."", ""After the cake is done, while still hot, take a fork and poke holes in the cake."", ""Pour the milk over the cake and let cool."", ""When cooled, take Cool Whip and spread on top of cake. Take chopped candy bar and spread over the top of Cool Whip."", ""Best if kept refrigerated.""]","[""chocolate cake"", ""condensed milk"", ""chocolate""]"
Turtle Candy,"[""2 (8 oz.) Hershey bars"", ""1 can sweetened condensed milk"", ""2 c. whole pecans""]","[""Melt bars and milk in top of double boiler."", ""Pour over pecans. Drop by teaspoon full onto wax paper."", ""Chill to set.""]","[""condensed milk"", ""pecans""]"
Apple Smiles(Eatable)  ,"[""apples, cut into thin wedges (about 1/2 inch thick)"", ""peanut butter"", ""mini marshmallows""]","[""Take two apple wedges and spread with peanut butter on one side of each."", ""Place 4 to 5 mini marshmallows on apple wedge side with peanut butter."", ""Take the other apple wedge and place on top of marshmallows."", ""There you have an Apple Smile!""]","[""apples"", ""peanut butter"", ""marshmallows""]"
Easy Peanut Butter Fudge,"[""1/2 c. milk"", ""2 c. sugar""]","[""Mix together and cook 1 minute."", ""After it starts to boil don't overcook and then add 1/2 jar of peanut butter and put in 2 tablespoons of marshmallow cream."", ""Mix together and put in pan.""]","[""milk"", ""sugar""]"
Strawberry Sherbet,"[""5 (12 oz.) cans strawberry (red) pop"", ""1 can Eagle Brand milk"", ""1 small can crushed pineapple""]","[""Mix the milk, pop and pineapple all together at once; put into 1 gallon ice cream freezer."", ""Pack with crushed ice and salt and turn freezer, about 15 minutes."", ""Makes 1 gallon.""]","[""strawberry"", ""milk"", ""pineapple""]"
Peanut Butter Balls,"[""2 c. powdered milk"", ""1 c. peanut butter"", ""1/2 c. honey""]","[""Mix all with a spoon."", ""Finish mixing by using your hands, kneading like dough."", ""Roll into small balls."", ""Stores in refrigerator."", ""Great snack for toddlers.""]","[""powdered milk"", ""peanut butter"", ""honey""]"
Pink Lace Salad,"[""1 large pkg. strawberry Jell-O"", ""3 c. mini marshmallows"", ""1 crushed pineapple"", ""1 c. chopped pecans"", ""1 (8 oz.) carton cottage cheese"", ""1 small Cool Whip""]","[""Melt marshmallows; pour into clear bowl and add crushed pineapple and Jell-O."", ""Mix well, then add remaining ingredients; refrigerate overnight."", ""Makes about 10 servings.""]","[""strawberry"", ""marshmallows"", ""pineapple"", ""pecans"", ""cottage cheese""]"
Peanut Butter Play Dough(You Can Eat It.)  ,"[""1 c. peanut butter (creamy)"", ""1 c. honey"", ""1 c. oats"", ""1 c. powdered milk""]","[""Mix all ingredients together."", ""Chill, play and eat.""]","[""peanut butter"", ""honey"", ""oats"", ""powdered milk""]"
Watergate Salad,"[""1 (20 oz.) can crushed pineapple"", ""1 box instant pistachio pudding"", ""1/2 c. chopped pecans"", ""1 (9 oz.) container Cool Whip""]","[""Mix ingredients with pineapple, add all other ingredients. Chill and serve.""]","[""pineapple"", ""pecans""]"
Kool-Aid Sherbet,"[""1 c. sugar"", ""1 pkg. Kool-Aid"", ""3 c. milk""]","[""Dissolve sugar and Kool-Aid in milk; pour in freezer tray. Freeze until mushy; spoon into cold bowl."", ""Beat until smooth. Return to freezer tray; freeze for at least 2 hours."", ""Makes 5 to 6 servings.""]","[""sugar"", ""milk""]"
Puttin On The Ritz,"[""1 box Ritz crackers"", ""1 can Eagle Brand milk"", ""1/2 c. chopped dates"", ""1/2 c. pecans""]","[""Cook eagle brand milk and dates until thick as paste."", ""Add pecans."", ""Place small amount on crackers."", ""Place on cookie sheet lined with foil."", ""Bake at 350 degrees for 8 minutes."", ""Cool."", ""Frost with cream cheese frosting."", ""Enjoy."", ""Be careful and don't cook too long- will burn.""]","[""crackers"", ""milk"", ""dates"", ""pecans""]"
Sunshine Punch,"[""1 (46 oz.) can pineapple juice"", ""1 (46 oz.) can pineapple and grapefruit juice"", ""1 qt. size lemonade mix""]","[""Mix all ingredients in a 1 gallon jug."", ""Fill to top with water."", ""Shake to dissolve."", ""Tint, if desired, with food coloring to match color scheme."", ""If sherbet punch is desired, add 1 pint of favorite flavor and 1 quart of ginger ale to each 2 gallons.""]","[""pineapple juice"", ""pineapple""]"
Betsy'S Grapes,"[""large bunch red seedless grapes""]","[""Pull most grapes off stem; leave some on for decoration. Wash, dry and chill.""]","[""grapes""]"
"""Gorp"" Dry Mixes","[""2 c. salted peanuts"", ""2 c. raisins"", ""2 c. dried apricots"", ""2 c. candy coated chocolate (M&M's)"", ""4 c. cereal (such as Rice or Corn Chex, bite size Shredded Wheat, etc.)""]","[""Mix all ingredients."", ""Store in plastic bags."", ""Great snack for hiking!""]","[""peanuts"", ""raisins"", ""apricots"", ""chocolate"", ""cereal""]"
No Sugar Cookies,"[""2 to 3 ripe bananas"", ""1 c. dates, chopped fine"", ""1 c. pecans, chopped fine"", ""1 c. raisins"", ""oatmeal or granola (optional)""]","[""Puree bananas."", ""Mix dates, nuts and raisins together."", ""Pour bananas over this mixture."", ""Add just enough oatmeal or granola to effect cookie dough."", ""Mix well."", ""Roll into balls and bake on a greased cookie sheet for 10 to 12 minutes."", ""Watch carefully as they burn easily."", ""Store in refrigerator.""]","[""bananas"", ""dates"", ""pecans"", ""raisins""]"
Peanut Butter Fudge,"[""3 Tbsp. peanut butter"", ""1 c. milk"", ""2 c. sugar""]","[""Bring to boil and cook low."", ""Test in water until a soft ball forms."", ""Beat and cool until ready.""]","[""peanut butter"", ""milk"", ""sugar""]"
Chocolate Pudding Cake,"[""1 box chocolate cake mix (also good with butter pecan)"", ""1 box of chocolate pudding mix""]","[""Prepare cake mix as directed on box."", ""Pour into greased and floured 9 x 13 pan."", ""Sprinkle over top of cake dry chocolate pudding mix."", ""Pour over all 1 c. boiling water."", ""Bake cake as directed on cake box.""]","[""chocolate cake"", ""chocolate pudding""]"
Roasted Peanuts,"[""plenty of fresh, raw peanuts""]","[""Preheat oven to 450\u00b0."", ""Place raw nuts on cookie sheets; don't pile them on."", ""Place in oven; immediately turn oven off."", ""Leave nuts in oven until oven is cold.""]","[""peanuts""]"
Mac'S Peach Blossoms,"[""2 1/2 c. peach Schnapps"", ""13 1/2 c. orange juice""]","[""Mix and pour over ice."", ""Yields 1 gallon.""]","[""orange juice""]"
Coffee Cake,"[""white cake mix"", ""brown sugar""]","[""Mix white cake mix according to directions. Put 1/2 of mix in 9 x 13-inch pan. Sprinkle a layer of brown sugar over the mix; pour on remaining mix and another layer of brown sugar. Bake as directed on cake mix box.""]","[""white cake"", ""brown sugar""]"
Chocolate Eclair Cake,"[""2 (3 3/4 oz.) French vanilla instant pudding"", ""3 c. milk"", ""1 (8 oz.) Cool Whip"", ""graham crackers""]","[""Mix milk and pudding."", ""Fold in Cool Whip."", ""Beat for 2 minutes at medium speed."", ""Spray 9 x 13-inch Pyrex dish with Pam nonstick. Layer bottom of Pyrex dish with whole graham crackers."", ""Spread 1/2 of pudding mixture over the crackers."", ""Add another layer of whole graham crackers, then spread remaining pudding mixture."", ""Top with another layer of whole graham crackers."", ""Pour cooled icing over cake."", ""Refrigerate.""]","[""milk"", ""graham crackers""]"
Punch,"[""2 pkg. strawberry Kool-Aid"", ""1 small can frozen orange juice""]","[""Prepare"", ""Kool-Aid"", ""as directed on packages."", ""Add orange juice and serve over ice.""]","[""strawberry"", ""orange juice""]"
Pretty Pear Salad,"[""lettuce leaf"", ""1 pear half (fresh or canned)"", ""1 Tbsp. of cottage cheese"", ""1 cherry""]","[""Place lettuce leaf in bowl."", ""Place pear on lettuce leaf."", ""Fill pear center with cottage cheese."", ""Put cherry on top."", ""Makes one serving.""]","[""pear"", ""cottage cheese"", ""cherry""]"
Strawberry And Cottage Cheese Salad,"[""1 (16 oz.) cottage cheese"", ""1 large pkg. strawberry Jell-O"", ""1 (12 oz.) Cool Whip"", ""1 can pineapple tidbits""]","[""Drain pineapple tidbits and set aside."", ""Completely thaw Cool Whip."", ""Mix Cool Whip and cottage cheese."", ""Add Jell-O mix (dry). Mix well and add pineapple, thoroughly mix."", ""Chill and serve.""]","[""cottage cheese"", ""strawberry"", ""pineapple""]"
Apple-Date Smoothie,"[""2 bananas (fresh or frozen)"", ""2 apples, peeled and cored"", ""2 to 4 large dates, seeds removed"", ""1 c. fresh apple juice""]","[""Whirl all the ingredients in a blender until smooth. Add ice, if you wish.""]","[""bananas"", ""apples"", ""dates"", ""apple juice""]"
Peanut Butter Frosting,"[""1 c. sugar"", ""1 c. milk"", ""1 c. peanut butter""]","[""Cook sugar and milk until thick."", ""Remove from heat and add peanut butter."", ""Stir until well mixed and creamy."", ""Spread on sheet cake.""]","[""sugar"", ""milk"", ""peanut butter""]"
Festive Punch,"[""1 envelope strawberry Kool-Aid (with Nutra Sweet)"", ""1 can unsweetened apple juice (qt.)"", ""1 can unsweetened pineapple juice (qt.)""]","[""Combine juices with Kool-Aid and mix thoroughly. Chill and serve. Can also be used to fill ice trays to make ring for punch or use to make popsicles.""]","[""strawberry"", ""apple juice"", ""pineapple""]"
Peanut Butter Sauce,"[""1/2 c. peanut butter (smooth)"", ""1/4 c. maple syrup""]","[""Mix together until smooth and creamy."", ""Serve with fresh sliced apples, celery or strawberries."", ""Great snack for kids.""]","[""peanut butter"", ""maple syrup""]"
Cranberry Salad,"[""1 pkg. cranberries"", ""1 c. sugar"", ""1 apple, cored"", ""1 orange, seeded""]","[""Grind cranberries, sugar, apple (including peel) and orange (including peel) all together in grinder."", ""Refrigerate.""]","[""cranberries"", ""sugar"", ""apple"", ""orange""]"
Strawberry Punch,"[""2 pkg. strawberry Kool-Aid"", ""2 c. pineapple juice"", ""2 c. sugar""]","[""Mix Kool-Aid, sugar and pineapple juice. Add enough water to make 1 gallon of punch. Chill and serve.""]","[""strawberry"", ""pineapple juice"", ""sugar""]"
Reese'S Cookies,"[""1 pkg. Ritz crackers"", ""1 jar peanut butter"", ""4 to 6 cubes almond bark chocolate""]","[""Make a peanut butter sandwich by spreading peanut butter between crackers."", ""After making up 20 to 24 cookies, melt chocolate."", ""Dip cookies into chocolate and place on waxed paper to cool.""]","[""crackers"", ""peanut butter"", ""chocolate""]"
